train:0.00228903724576582,validation:0.0024471024646320278
train:0.002226346205653889,validation:0.0024083276382750934
train:0.002224346746915726,validation:0.0023781184184675417
train:0.0021602898813108656,validation:0.0023084116918552252
train:0.0021368061847329796,validation:0.002276160327407221
train:0.0020860615710901853,validation:0.002261984446603391
train:0.0020628141643540873,validation:0.002230048916923503
train:0.0020335192298311946,validation:0.00219546711175806
train:0.0020065358801550424,validation:0.002166478959326115
train:0.001976281616857255,validation:0.0021466727032222683
train:0.001951403744457351,validation:0.002111811139103439
train:0.001932422815985814,validation:0.002100289424156977
train:0.001921243940039978,validation:0.0020976755768060684
train:0.0019188738456200603,validation:0.002096699731838372
train:0.0019162961980327964,validation:0.0021065837936475873
train:0.0019202264739650783,validation:0.002104629245069292
train:0.0019149384602065106,validation:0.002110704068197972
train:0.0019178148781225741,validation:0.00210884362200482
train:0.0019125379967390671,validation:0.0021126868539593285
train:0.0019174502806860831,validation:0.0021022993864284623
train:0.0019114783857590877,validation:0.0020897275923440852
train:0.0019169726414135196,validation:0.0020711506044285167
train:0.0019114424722719487,validation:0.0020582793125261865
train:0.0018970962590793823,validation:0.002057613960156838
train:0.001878717435769491,validation:0.0020756202025545966
train:0.0018653093113123879,validation:0.0020411816141050723
train:0.001872946753852315,validation:0.0019998455859927666
train:0.001863207016907796,validation:0.002016168048915764
train:0.0018351711857306596,validation:0.0020287540586044392
train:0.0018307427110682642,validation:0.0019665717328381208
train:0.0018278489933236614,validation:0.0019635359834258756
train:0.0018045251388205113,validation:0.0019923053397279647
train:0.0018013305015411678,validation:0.001935320311329431
train:0.001797728747088503,validation:0.001934522840504845
train:0.001775952787803752,validation:0.0019536264525312516
train:0.001779970920204625,validation:0.0019119808631431726
train:0.001777334051759361,validation:0.001919155565297438
train:0.0017658145804019584,validation:0.0019293464073497388
train:0.0017721981582856112,validation:0.0019038499255354206
train:0.0017699564175148094,validation:0.001910542215531071
train:0.0017642800882970403,validation:0.001918867346830666
train:0.00176984413941442,validation:0.001900344789545569
train:0.0017701227251174195,validation:0.0019045396087070305
train:0.0017662865485852729,validation:0.0019172666361555457
train:0.00177049034551441,validation:0.0019016956470699774
train:0.0017722357898582143,validation:0.0019033685223095948
train:0.001770169600834149,validation:0.001917181381334861
train:0.0017732813747108475,validation:0.0019089393188349074
train:0.0017765341301008567,validation:0.0019102218146953317
train:0.0017784028544326077,validation:0.0019194140849221083
train:0.0017811680164003928,validation:0.0019194749830704597
train:0.0017814264737663196,validation:0.0019254766585719255
train:0.0017846131257221595,validation:0.0019165201164368126
train:0.0017826836581781998,validation:0.001916157249878678
train:0.0017785650440031193,validation:0.001922758115041587
train:0.001776404225953169,validation:0.0019149684424822528
train:0.0017706776564879404,validation:0.0019116014785443742
train:0.001768449451876702,validation:0.0019021843068508639
train:0.0017631008177176938,validation:0.0018941160912315051
train:0.00175523821643175,validation:0.0019018491342042883
train:0.0017493348990843356,validation:0.0018894992018532422
train:0.0017415353552448552,validation:0.0018983855843544006
train:0.0017381173962788595,validation:0.0018729641645525892
train:0.0017358102582415546,validation:0.0018645493805201517
train:0.0017314109807977309,validation:0.0018817336660706336
train:0.00172502159366159,validation:0.0018757331029822428
train:0.0017235887781870398,validation:0.0018695153089033233
train:0.0017192799490518295,validation:0.0018656367254960868
train:0.0017153714990734562,validation:0.0018476683568830292
train:0.0017076026837617815,validation:0.001879250035724706
train:0.0017030152343827617,validation:0.001852394417963094
train:0.0017083869840192434,validation:0.0018412371993892724
train:0.0017017863900656556,validation:0.0018603028212156561
train:0.0017029774032410357,validation:0.0018642834232499201
train:0.0016991367671065605,validation:0.001857645175833669
train:0.0017100241326900955,validation:0.001851026524996592
train:0.0017111558955838228,validation:0.001860628434870806
train:0.0017033437251594368,validation:0.0018965556907157104
train:0.0017101820097765424,validation:0.0018570637977164653
train:0.001718850432803015,validation:0.001842188390178813
train:0.0017147638763372714,validation:0.001892487828930219
train:0.0017078263559736884,validation:0.0018865002655527657
train:0.001712741856053881,validation:0.0018543425378286177
train:0.0017208938146583163,validation:0.001858559320680797
train:0.0017111169552983163,validation:0.0018792818559126721
train:0.0017025720476490128,validation:0.0018911355356168416
train:0.0017135830117635184,validation:0.0018286255653947592
train:0.0017220438304510746,validation:0.001867513237003651
